Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bookings,,,,2019-08-19 19:55:09,2019-08-19 19:56:03,54.126s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/New Booking Order,,,,2019-08-19 19:55:10,2019-08-19 19:56:03,53.544s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 19:55:11,2019-08-19 19:55:11,0.008s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 19:55:11,2019-08-19 19:55:15,4.073s,PASSED
window().maximize(),,,,2019-08-19 19:55:15,2019-08-19 19:55:16,1.189s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 19:55:16,2019-08-19 19:55:26,9.974s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 19:55:26,2019-08-19 19:55:26,0.028s,PASSED
try,,,,2019-08-19 19:55:26,2019-08-19 19:56:02,35.836s,PASSED
catch (Exception e),,,,2019-08-19 19:56:02,2019-08-19 19:56:03,1.178s,PASSED
