Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ViewNewAcceptCancelAllBookingByServiceProviders,,,,2019-08-23 18:25:17,2019-08-23 18:25:53,35.263s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/AcceptedOrder(All),,,,2019-08-23 18:25:18,2019-08-23 18:25:53,34.670s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:25:19,2019-08-23 18:25:19,0.004s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:25:19,2019-08-23 18:25:23,3.984s,PASSED
window().maximize(),,,,2019-08-23 18:25:23,2019-08-23 18:25:24,1.163s,PASSED
try,,,,2019-08-23 18:25:24,2019-08-23 18:25:53,28.409s,PASSED
