Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CustomerSign IN,,,,2019-08-20 16:39:20,2019-08-20 16:39:59,39.844s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Sign IN/CustSignIn,,,,2019-08-20 16:39:20,2019-08-20 16:39:59,39.351s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:39:21,2019-08-20 16:39:21,0.004s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:39:21,2019-08-20 16:39:24,3.427s,PASSED
window().maximize(),,,,2019-08-20 16:39:24,2019-08-20 16:39:26,1.184s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 16:39:26,2019-08-20 16:39:38,12.439s,PASSED
try,,,,2019-08-20 16:39:38,2019-08-20 16:39:59,20.741s,PASSED
driver.quit(),,,,2019-08-20 16:39:59,2019-08-20 16:39:59,0.693s,PASSED
