Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignUp,,,,2019-08-17 20:24:46,2019-08-17 20:29:18,4m - 31.338s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/InvalidEmailIdLogin,,,,2019-08-17 20:24:47,2019-08-17 20:25:18,30.832s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-17 20:24:48,2019-08-17 20:24:48,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-17 20:24:48,2019-08-17 20:24:52,3.876s,PASSED
window().maximize(),,,,2019-08-17 20:24:52,2019-08-17 20:24:53,1.190s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-17 20:24:53,2019-08-17 20:25:10,17.330s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-17 20:25:10,2019-08-17 20:25:10,0.024s,PASSED
"linkText(""Log In"")).click()",,,,2019-08-17 20:25:10,2019-08-17 20:25:10,0.276s,PASSED
Thread.sleep(2000),,,,2019-08-17 20:25:10,2019-08-17 20:25:12,2.011s,PASSED
"id(""email_login"")).sendKeys(""shahbaz.dapl123.com"")",,,,2019-08-17 20:25:12,2019-08-17 20:25:13,0.209s,PASSED
"id(""password_login"")).sendKeys(""admin#123"")",,,,2019-08-17 20:25:13,2019-08-17 20:25:13,0.144s,PASSED
"//*[@value='Log in']"")).click()",,,,2019-08-17 20:25:13,2019-08-17 20:25:13,0.127s,PASSED
Thread.sleep(2000),,,,2019-08-17 20:25:13,2019-08-17 20:25:15,2.002s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),,,,2019-08-17 20:25:15,2019-08-17 20:25:15,0.018s,PASSED
build().perform(),,,,2019-08-17 20:25:15,2019-08-17 20:25:15,0.064s,PASSED
Thread.sleep(2000),,,,2019-08-17 20:25:15,2019-08-17 20:25:17,2.003s,PASSED
driver.quit(),,,,2019-08-17 20:25:17,2019-08-17 20:25:18,0.743s,PASSED
,,,,,,,
