Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bookings,,,,2019-08-19 20:16:54,2019-08-19 20:26:18,9m - 24.276s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/Customer/PlaceOrderBySearchTestMode,,,,2019-08-19 20:16:54,2019-08-19 20:19:12,2m - 18.319s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:16:55,2019-08-19 20:16:55,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:16:55,2019-08-19 20:16:59,3.575s,PASSED
window().maximize(),,,,2019-08-19 20:16:59,2019-08-19 20:17:00,1.172s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:17:00,2019-08-19 20:17:10,10.590s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:17:10,2019-08-19 20:17:10,0.018s,PASSED
try,,,,2019-08-19 20:17:10,2019-08-19 20:19:12,2m - 1.958s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/New Booking Order,,,,2019-08-19 20:19:12,2019-08-19 20:20:03,50.345s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:19:13,2019-08-19 20:19:13,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:19:13,2019-08-19 20:19:16,2.222s,PASSED
window().maximize(),,,,2019-08-19 20:19:16,2019-08-19 20:19:17,1.137s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:19:17,2019-08-19 20:19:29,12.445s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:19:29,2019-08-19 20:19:29,0.007s,PASSED
try,,,,2019-08-19 20:19:29,2019-08-19 20:20:03,33.718s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/InboxAcceptOrder,,,,2019-08-19 20:20:03,2019-08-19 20:20:52,49.135s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:20:03,2019-08-19 20:20:03,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:20:03,2019-08-19 20:20:05,2.120s,PASSED
window().maximize(),,,,2019-08-19 20:20:05,2019-08-19 20:20:06,1.150s,PASSED
try,,,,2019-08-19 20:20:06,2019-08-19 20:20:52,45.474s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/InboxVerifyMessageDetail,,,,2019-08-19 20:20:52,2019-08-19 20:21:45,52.629s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:20:52,2019-08-19 20:20:52,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:20:52,2019-08-19 20:20:55,2.313s,PASSED
window().maximize(),,,,2019-08-19 20:20:55,2019-08-19 20:20:56,1.156s,PASSED
try,,,,2019-08-19 20:20:56,2019-08-19 20:21:45,48.832s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/AcceptedOrder,,,,2019-08-19 20:21:45,2019-08-19 20:22:03,18.111s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:21:45,2019-08-19 20:21:45,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:21:45,2019-08-19 20:21:47,2.228s,PASSED
window().maximize(),,,,2019-08-19 20:21:47,2019-08-19 20:21:49,1.154s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:21:49,2019-08-19 20:22:00,11.253s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:22:00,2019-08-19 20:22:00,0.009s,PASSED
try,,,,2019-08-19 20:22:00,2019-08-19 20:22:02,2.166s,PASSED
catch (Exception e),,,,2019-08-19 20:22:02,2019-08-19 20:22:03,0.688s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerAcceptedRequestedOrder,,,,2019-08-19 20:22:03,2019-08-19 20:22:20,17.804s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:22:03,2019-08-19 20:22:03,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:22:03,2019-08-19 20:22:05,2.202s,PASSED
window().maximize(),,,,2019-08-19 20:22:05,2019-08-19 20:22:06,1.139s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:22:06,2019-08-19 20:22:17,10.517s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:22:17,2019-08-19 20:22:17,0.004s,PASSED
try,,,,2019-08-19 20:22:17,2019-08-19 20:22:19,2.119s,PASSED
catch (Exception e),,,,2019-08-19 20:22:19,2019-08-19 20:22:20,1.428s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerInbox,,,,2019-08-19 20:22:20,2019-08-19 20:23:20,59.110s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:22:21,2019-08-19 20:22:21,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:22:21,2019-08-19 20:22:23,2.163s,PASSED
window().maximize(),,,,2019-08-19 20:22:23,2019-08-19 20:22:24,1.151s,PASSED
try,,,,2019-08-19 20:22:24,2019-08-19 20:23:20,55.372s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/TaskCompleted(All),,,,2019-08-19 20:23:20,2019-08-19 20:24:12,52.258s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:23:20,2019-08-19 20:23:20,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:23:20,2019-08-19 20:23:22,2.239s,PASSED
window().maximize(),,,,2019-08-19 20:23:22,2019-08-19 20:23:23,1.149s,PASSED
try,,,,2019-08-19 20:23:23,2019-08-19 20:24:10,47.102s,PASSED
catch (Exception e),,,,2019-08-19 20:24:10,2019-08-19 20:24:12,1.461s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/Order Completed,,,,2019-08-19 20:24:12,2019-08-19 20:25:09,57.241s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:24:12,2019-08-19 20:24:12,0.006s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:24:12,2019-08-19 20:24:18,6.000s,PASSED
window().maximize(),,,,2019-08-19 20:24:18,2019-08-19 20:24:19,1.154s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:24:19,2019-08-19 20:24:31,11.322s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:24:31,2019-08-19 20:24:31,0.004s,PASSED
try,,,,2019-08-19 20:24:31,2019-08-19 20:25:08,37.420s,PASSED
catch (Exception e),,,,2019-08-19 20:25:08,2019-08-19 20:25:09,1.017s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerOrderCompletedOrder,,,,2019-08-19 20:25:09,2019-08-19 20:25:25,15.639s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:25:09,2019-08-19 20:25:09,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:25:10,2019-08-19 20:25:12,2.492s,PASSED
window().maximize(),,,,2019-08-19 20:25:12,2019-08-19 20:25:13,1.145s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:25:13,2019-08-19 20:25:21,8.111s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:25:21,2019-08-19 20:25:21,0.016s,PASSED
try,,,,2019-08-19 20:25:21,2019-08-19 20:25:23,2.149s,PASSED
catch (Exception e),,,,2019-08-19 20:25:23,2019-08-19 20:25:25,1.333s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/TransactionHistory,,,,2019-08-19 20:25:25,2019-08-19 20:26:18,52.972s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:25:25,2019-08-19 20:25:25,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:25:25,2019-08-19 20:25:27,2.273s,PASSED
window().maximize(),,,,2019-08-19 20:25:27,2019-08-19 20:25:29,1.144s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-19 20:25:29,2019-08-19 20:25:39,10.383s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-19 20:25:39,2019-08-19 20:25:39,0.006s,PASSED
try,,,,2019-08-19 20:25:39,2019-08-19 20:26:17,37.814s,PASSED
catch (Exception e),,,,2019-08-19 20:26:17,2019-08-19 20:26:18,1.049s,PASSED
