Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homepage Verification,,,,2019-08-20 15:07:47,2019-08-20 15:08:07,20.081s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/HomePage/TitleVerification,,,,2019-08-20 15:07:47,2019-08-20 15:08:07,19.598s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 15:07:48,2019-08-20 15:07:48,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 15:07:48,2019-08-20 15:07:52,3.725s,PASSED
window().maximize(),,,,2019-08-20 15:07:52,2019-08-20 15:07:53,1.181s,PASSED
try,,,,2019-08-20 15:07:53,2019-08-20 15:08:07,13.936s,PASSED
