Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CustomerSignUp,,,,2019-08-20 14:58:25,2019-08-20 14:58:54,29.342s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/InvalidEmailIdLogin,,,,2019-08-20 14:58:25,2019-08-20 14:58:54,28.873s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:58:26,2019-08-20 14:58:26,0.007s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 14:58:26,2019-08-20 14:58:30,3.692s,PASSED
window().maximize(),,,,2019-08-20 14:58:30,2019-08-20 14:58:31,1.182s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 14:58:31,2019-08-20 14:58:47,16.401s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-20 14:58:47,2019-08-20 14:58:48,0.025s,PASSED
try,,,,2019-08-20 14:58:48,2019-08-20 14:58:54,6.708s,PASSED
