Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ServiceProivderSignUp,,,,2019-08-21 12:47:01,2019-08-21 12:47:32,30.510s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Sign Up/ServProvSignUp,,,,2019-08-21 12:47:02,2019-08-21 12:47:32,29.804s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-21 12:47:03,2019-08-21 12:47:03,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-21 12:47:03,2019-08-21 12:47:07,3.955s,PASSED
window().maximize(),,,,2019-08-21 12:47:07,2019-08-21 12:47:08,1.192s,PASSED
try,,,,2019-08-21 12:47:08,2019-08-21 12:47:31,22.948s,PASSED
driver.quit(),,,,2019-08-21 12:47:31,2019-08-21 12:47:32,0.750s,PASSED
