Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignUp,,,,2019-08-17 20:20:03,2019-08-17 20:20:32,28.771s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/SignUpValidationInvalidEmail,,,,2019-08-17 20:20:03,2019-08-17 20:20:32,28.287s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-17 20:20:04,2019-08-17 20:20:04,0.006s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-17 20:20:04,2019-08-17 20:20:08,3.827s,PASSED
window().maximize(),,,,2019-08-17 20:20:08,2019-08-17 20:20:09,1.175s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-17 20:20:09,2019-08-17 20:20:18,9.447s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-17 20:20:18,2019-08-17 20:20:18,0.024s,PASSED
"linkText(""Sign Up"")).click()",,,,2019-08-17 20:20:18,2019-08-17 20:20:19,0.156s,PASSED
Thread.sleep(2000),,,,2019-08-17 20:20:19,2019-08-17 20:20:21,2.011s,PASSED
"xpath(""//*[text()='Client']"")).click()",,,,2019-08-17 20:20:21,2019-08-17 20:20:21,0.120s,PASSED
Thread.sleep(2000),,,,2019-08-17 20:20:21,2019-08-17 20:20:23,2.001s,PASSED
"id(""email"")).sendKeys(""shahbaz.dapl123gmail.com"")",,,,2019-08-17 20:20:23,2019-08-17 20:20:23,0.228s,PASSED
"id(""firstName"")).sendKeys(""Shahbaz"")",,,,2019-08-17 20:20:23,2019-08-17 20:20:23,0.151s,PASSED
"id(""lastName"")).sendKeys(""Farooque"")",,,,2019-08-17 20:20:23,2019-08-17 20:20:23,0.187s,PASSED
"id(""password"")).sendKeys(""admin#123"")",,,,2019-08-17 20:20:23,2019-08-17 20:20:23,0.157s,PASSED
"id(""contact_number"")).sendKeys(""9663326168"")",,,,2019-08-17 20:20:23,2019-08-17 20:20:24,0.174s,PASSED
"//*[@value='Join Workilo!']"")).click()",,,,2019-08-17 20:20:24,2019-08-17 20:20:24,0.117s,PASSED
Thread.sleep(2000),,,,2019-08-17 20:20:24,2019-08-17 20:20:26,2.004s,PASSED
"errorMessage = driver.findElement(By.xpath(""//*[@id='signup-form']/div[1]/label[2]""))",,,,2019-08-17 20:20:26,2019-08-17 20:20:26,0.030s,PASSED
js = driver,,,,2019-08-17 20:20:26,2019-08-17 20:20:26,0.000s,PASSED
"js.executeScript(""arguments[0].style.border='3px solid red'"", errorMessage)",,,,2019-08-17 20:20:26,2019-08-17 20:20:26,0.026s,PASSED
Thread.sleep(5000),,,,2019-08-17 20:20:26,2019-08-17 20:20:31,5.002s,PASSED
driver.quit(),,,,2019-08-17 20:20:31,2019-08-17 20:20:32,0.739s,PASSED
